ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
257,10,8,1882,12,55,0,38.1667,-0.8,0,3.836,0.264,5.25,0
258,14,9,1882,4,0,0,37.25,-1.8667,0,4.1085,0.279,5.25,0
259,13,10,1882,3,30,0,38.1167,-1.3,0,3.836,0.264,5.25,0
260,28,10,1882,20,0,0,38.1167,-1.3,0,3.836,0.264,5.25,27
261,6,11,1882,20,0,0,38.1167,-1.3,0,4.381,0.294,5.25,27
262,7,11,1882,3,30,0,38.1167,-1.3,0,4.926,0.324,5.25,27
263,8,11,1882,7,50,0,38.7,-0.4667,0,4.381,0.294,5.25,42
264,9,11,1882,3,0,0,38.1167,-1.3,0,3.291,0.234,5.25,27
265,10,11,1882,6,30,0,38.1167,-1.3,0,3.291,0.234,5.25,27
266,12,11,1882,11,45,0,38.7,-0.4667,0,3.5635,0.249,5.25,42
267,20,11,1882,12,0,0,38.1167,-1.3,0,3.836,0.264,5.25,27
268,23,11,1882,8,0,0,38.1167,-1.3,0,3.836,0.264,5.25,27
269,23,11,1882,21,0,0,38.1167,-1.3,0,3.836,0.264,5.25,27
270,1,12,1882,0,15,0,37.3833,-1.95,0,4.381,0.294,5.25,0
271,10,12,1882,20,20,0,38.1167,-1.3,0,4.1085,0.279,5.25,0
272,7,1,1883,18,0,0,38.1167,-1.3,0,4.1085,0.279,4.75,14
273,8,1,1883,6,30,0,38.1167,-1.3,0,4.381,0.294,4.75,14
274,8,1,1883,19,0,0,38.1167,-1.3,0,4.381,0.294,4.75,14
275,10,1,1883,16,25,0,38.1167,-1.3,0,4.1085,0.279,4.75,14
276,11,1,1883,0,0,0,38.1167,-1.3,0,4.1085,0.279,4.75,14
277,16,1,1883,3,40,0,38.05,-1.25,0,5.1985,0.339,4.75,14
278,24,1,1883,0,0,0,38.1167,-1.3,0,3.5635,0.249,4.75,14
279,26,1,1883,3,30,0,38.1167,-1.3,0,3.836,0.264,4.75,14
280,3,2,1883,2,20,0,38.1167,-1.3,0,3.836,0.264,4.75,14
281,4,2,1883,5,30,0,38.1167,-1.3,0,3.836,0.264,4.75,14
282,20,2,1883,17,8,0,38.1167,-1.3,0,3.836,0.264,4.75,0
283,1,7,1883,0,0,0,38.4833,-1.3333,0,4.1085,0.279,4.75,0
284,16,8,1883,21,0,0,38,-1.2,0,2.746,0.204,4.75,0
285,1,11,1883,0,0,0,37.5,-2.7667,0,4.6535,0.309,4.75,0
286,13,3,1884,10,30,0,38.3333,-0.25,0,4.6535,0.309,4.75,36
287,23,3,1884,0,30,0,38.3333,-0.25,0,3.5635,0.249,4.75,36
288,25,3,1884,0,10,0,38.3333,-0.25,0,3.291,0.234,4.75,36
289,10,7,1884,0,0,0,36.8333,-2.5,0,4.381,0.294,4.75,0
290,12,8,1884,13,0,0,37.8833,-1.35,0,3.836,0.264,4.75,0
291,11,10,1884,10,35,0,38.3333,-0.5,0,3.5635,0.249,4.75,0
292,2,2,1885,16,30,0,38.7167,-0.65,0,3.836,0.264,4.75,0
293,15,2,1885,21,0,0,37.9833,-0.6833,0,3.836,0.264,4.75,0
294,11,4,1885,4,15,0,38.1167,-1.3,0,3.291,0.234,4.75,0
295,19,5,1885,19,10,0,38.3333,-0.5,0,4.381,0.294,4.75,0
296,25,5,1885,2,0,0,36.8,-2.5,0,4.381,0.294,4.75,0
297,28,11,1885,0,0,0,36.95,-2.4833,0,4.6535,0.309,4.75,0
298,28,1,1886,1,30,0,38,-1.1333,0,3.291,0.234,4.75,0
299,31,1,1886,3,0,0,38.4,-0.7667,0,4.381,0.294,4.75,0
